"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"4","Wii Sports Resort","Wii","2009","Sports","Nintendo",15.61,10.93,3.28,2.95,32.77,80,73,79,192,"Nintendo","E"
"9","New Super Mario Bros. Wii","Wii","2009","Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,87,80,83,594,"Nintendo","E"
"15","Kinect Adventures!","X360","2010","Misc","Microsoft Game Studios",15,4.89,0.24,1.69,21.81,61,45,62,106,"Good Science Studio","E"
"16","Wii Fit Plus","Wii","2009","Sports","Nintendo",9.01,8.49,2.53,1.77,21.79,80,33,73,52,"Nintendo","E"
"17","Grand Theft Auto V","PS3","2013","Action","Take-Two Interactive",7.02,9.09,0.98,3.96,21.04,97,50,81,3994,"Rockstar North","M"
"24","Grand Theft Auto V","X360","2013","Action","Take-Two Interactive",9.66,5.14,0.06,1.41,16.27,97,58,80,3711,"Rockstar North","M"
"28","Pokemon Black/Pokemon White","DS","2010","Role-Playing","Nintendo",5.51,3.17,5.65,0.8,15.14,NA,NA,1,NA,"",""
"30","Call of Duty: Modern Warfare 3","X360","2011","Shooter","Activision",9.04,4.24,0.13,1.32,14.73,88,81,33,8713,"Infinity Ward, Sledgehammer Games","M"
"32","Call of Duty: Black Ops 3","PS4","2015","Shooter","Activision",6.03,5.86,0.36,2.38,14.63,NA,NA,1,NA,"",""
"33","Call of Duty: Black Ops","X360","2010","Shooter","Activision",9.7,3.68,0.11,1.13,14.61,87,89,62,1454,"Treyarch","M"
"34","Pokemon X/Pokemon Y","3DS","2013","Role-Playing","Nintendo",5.28,4.19,4.35,0.78,14.6,NA,NA,1,NA,"",""
"35","Call of Duty: Black Ops II","PS3","2012","Shooter","Activision",4.99,5.73,0.65,2.42,13.79,83,21,52,922,"Treyarch","M"
"36","Call of Duty: Black Ops II","X360","2012","Shooter","Activision",8.25,4.24,0.07,1.12,13.67,83,73,47,2256,"Treyarch","M"
"37","Call of Duty: Modern Warfare 2","X360","2009","Shooter","Activision",8.52,3.59,0.08,1.28,13.47,94,100,62,2698,"Infinity Ward","M"
"38","Call of Duty: Modern Warfare 3","PS3","2011","Shooter","Activision",5.54,5.73,0.49,1.57,13.32,88,39,31,5234,"Infinity Ward, Sledgehammer Games","M"
"41","Mario Kart 7","3DS","2011","Racing","Nintendo",5.03,4.02,2.69,0.91,12.66,85,73,81,632,"Retro Studios, Entertainment Analysis & Development Division","E"
"42","Call of Duty: Black Ops","PS3","2010","Shooter","Activision",5.99,4.37,0.48,1.79,12.63,88,58,63,1094,"Treyarch","M"
"43","Grand Theft Auto V","PS4","2014","Action","Take-Two Interactive",3.96,6.31,0.38,1.97,12.61,97,66,82,2899,"Rockstar North","M"
"47","Pokemon HeartGold/Pokemon SoulSilver","DS","2009","Action","Nintendo",4.34,2.71,3.96,0.76,11.77,NA,NA,1,NA,"",""
"48","Pokemon Omega Ruby/Pokemon Alpha Sapphire","3DS","2014","Role-Playing","Nintendo",4.35,3.49,3.1,0.74,11.68,NA,NA,1,NA,"",""
"54","Super Mario 3D Land","3DS","2011","Platform","Nintendo",4.89,3,2.14,0.78,10.81,90,82,83,921,"Nintendo","E"
"55","Gran Turismo 5","PS3","2010","Racing","Sony Computer Entertainment",2.96,4.82,0.81,2.11,10.7,84,82,74,1112,"Polyphony Digital","E"
"56","Call of Duty: Modern Warfare 2","PS3","2009","Shooter","Activision",4.99,3.64,0.38,1.6,10.6,94,67,62,2073,"Infinity Ward","M"
"61","Call of Duty: Ghosts","X360","2013","Shooter","Activision",6.73,2.56,0.04,0.91,10.25,73,29,25,2117,"Infinity Ward","M"
"62","Just Dance 3","Wii","2011","Misc","Ubisoft",5.95,3.11,0,1.06,10.12,74,15,77,16,"Ubisoft","E10+"
"63","New Super Mario Bros. 2","3DS","2012","Platform","Nintendo",3.66,3.14,2.47,0.63,9.9,78,70,71,424,"Nintendo","E"
"65","Halo: Reach","X360","2010","Shooter","Microsoft Game Studios",7.04,1.95,0.08,0.79,9.86,91,99,78,2045,"Bungie","M"
"67","Halo 4","X360","2012","Shooter","Microsoft Game Studios",6.65,2.28,0.04,0.74,9.71,87,87,69,3260,"343 Industries","M"
"69","Just Dance 2","Wii","2010","Misc","Ubisoft",5.8,2.85,0.01,0.78,9.44,74,24,72,24,"Ubisoft","E10+"
"70","Call of Duty: Ghosts","PS3","2013","Shooter","Activision",4.1,3.63,0.38,1.25,9.36,71,10,25,1047,"Infinity Ward","M"
"73","Minecraft","X360","2013","Misc","Microsoft Game Studios",5.7,2.65,0.02,0.81,9.18,NA,NA,1,NA,"",""
"74","Animal Crossing: New Leaf","3DS","2012","Simulation","Nintendo",2.03,2.36,4.39,0.39,9.16,88,70,86,626,"Nintendo","E"
"76","The Elder Scrolls V: Skyrim","X360","2011","Role-Playing","Bethesda Softworks",5.05,2.79,0.1,0.85,8.79,96,89,83,3589,"Bethesda Game Studios","M"
"78","FIFA 16","PS4","2015","Sports","Electronic Arts",1.12,6.12,0.06,1.28,8.57,82,42,42,896,"EA Sports","E"
"80","Wii Party","Wii","2010","Misc","Nintendo",1.75,3.47,2.49,0.67,8.38,68,42,73,54,"Nd Cube","E"
"82","FIFA Soccer 13","PS3","2012","Action","Electronic Arts",1.06,5.01,0.13,1.97,8.16,88,37,65,348,"Electronic Arts","E"
"84","Pokemon Black 2/Pokemon White 2","DS","2012","Role-Playing","Nintendo",2.79,1.72,3.14,0.41,8.07,NA,NA,1,NA,"",""
"86","The Sims 3","PC","2009","Simulation","Electronic Arts",0.99,6.42,0,0.6,8.01,86,75,75,886,"The Sims Studio","T"
"88","Star Wars Battlefront (2015)","PS4","2015","Shooter","Electronic Arts",2.99,3.49,0.22,1.28,7.98,NA,NA,1,NA,"",""
"93","Call of Duty: Advanced Warfare","PS4","2014","Shooter","Activision",2.81,3.48,0.14,1.23,7.66,83,39,56,1443,"Sledgehammer Games","M"
"95","FIFA 17","PS4","2016","Sports","Electronic Arts",0.66,5.75,0.08,1.11,7.59,85,41,49,398,"EA Sports, EA Vancouver","E"
"97","Super Smash Bros. for Wii U and 3DS","3DS","2014","Fighting","Nintendo",3.27,1.37,2.43,0.48,7.55,NA,NA,1,NA,"",""
"98","Super Mario Galaxy 2","Wii","2010","Platform","Nintendo",3.56,2.35,0.98,0.62,7.51,97,87,90,1854,"Nintendo EAD Tokyo","E"
"100","Call of Duty: Black Ops 3","XOne","2015","Shooter","Activision",4.59,2.11,0.01,0.68,7.39,NA,NA,1,NA,"",""
"102","Battlefield 3","X360","2011","Shooter","Electronic Arts",4.46,2.11,0.06,0.69,7.32,84,57,73,2142,"EA DICE","M"
"104","Just Dance","Wii","2009","Misc","Ubisoft",3.48,2.99,0,0.73,7.2,49,21,79,110,"Ubisoft Paris","E10+"
"105","Battlefield 3","PS3","2011","Shooter","Electronic Arts",2.85,2.89,0.35,1.08,7.17,85,38,74,1761,"EA DICE","M"
"106","Fallout 4","PS4","2015","Role-Playing","Bethesda Softworks",2.53,3.27,0.24,1.13,7.16,87,58,64,4228,"Bethesda Game Studios","M"
"109","Pokemon Sun/Moon","3DS","2016","Role-Playing","Nintendo",2.98,1.45,2.26,0.45,7.14,NA,NA,1,NA,"",""
"111","Mario Kart 8","WiiU","2014","Racing","Nintendo",3.15,2.15,1.28,0.51,7.09,88,82,90,1599,"Nintendo","E"
"117","Just Dance 4","Wii","2012","Misc","Ubisoft",4.05,2.16,0,0.55,6.76,74,10,72,28,"Ubisoft","E10+"
"119","Uncharted 3: Drake's Deception","PS3","2011","Action","Sony Computer Entertainment",2.77,2.75,0.19,1.03,6.74,92,97,82,3712,"Naughty Dog","T"
"120","Zumba Fitness","Wii","2010","Sports","505 Games",3.45,2.59,0,0.66,6.71,NA,NA,97,NA,"Pipeworks Software, Inc.","E"
"122","Uncharted 2: Among Thieves","PS3","2009","Action","Sony Computer Entertainment",3.27,2.2,0.21,0.98,6.66,96,105,87,5187,"Naughty Dog","T"
"123","FIFA 12","PS3","2011","Sports","Electronic Arts",0.84,4.3,0.11,1.39,6.65,NA,NA,1,NA,"",""
"126","Red Dead Redemption","PS3","2010","Action","Take-Two Interactive",2.79,2.53,0.17,0.99,6.49,95,73,87,2456,"Rockstar San Diego","M"
"127","FIFA 14","PS3","2013","Sports","Electronic Arts",0.78,4.24,0.07,1.37,6.47,86,37,42,576,"EA Canada","E"
"128","Assassin's Creed III","PS3","2012","Action","Ubisoft",2.64,2.52,0.16,1.12,6.45,85,41,68,1307,"Ubisoft","M"
"129","Donkey Kong Country Returns","Wii","2010","Platform","Nintendo",3.17,1.79,1.03,0.46,6.44,87,77,85,368,"Retro Studios","E"
"131","The Elder Scrolls V: Skyrim","PS3","2011","Role-Playing","Bethesda Softworks",2.55,2.6,0.25,1,6.41,92,16,63,2527,"Bethesda Game Studios","M"
"135","Halo 3: ODST","X360","2009","Shooter","Microsoft Game Studios",4.34,1.34,0.06,0.61,6.34,83,94,70,1163,"Bungie Software, Bungie","M"
"136","Red Dead Redemption","X360","2010","Action","Take-Two Interactive",3.7,1.95,0.09,0.58,6.32,95,96,89,2316,"Rockstar San Diego","M"
"141","Gears of War 3","X360","2011","Shooter","Microsoft Game Studios",4.05,1.59,0.07,0.5,6.21,91,96,77,1504,"Epic Games","M"
"142","Kinect Sports","X360","2010","Sports","Microsoft Game Studios",3.92,1.73,0.03,0.51,6.19,73,51,73,95,"Rare Ltd.","E10+"
"144","FIFA 15","PS4","2014","Sports","Electronic Arts",0.8,4.33,0.05,0.9,6.08,82,47,56,988,"EA Sports","E"
"150","The Last of Us","PS3","2013","Action","Sony Computer Entertainment Europe",2.41,2.18,0.28,0.99,5.87,95,98,90,8003,"Naughty Dog","M"
"153","Dragon Quest IX: Sentinels of the Starry Skies","DS","2009","Role-Playing","Nintendo",0.63,0.67,4.35,0.15,5.78,87,65,87,197,"Level 5","E10+"
"155","Destiny","PS4","2014","Shooter","Activision",2.49,2.07,0.16,0.92,5.64,76,95,60,5380,"Bungie Software, Bungie","T"
"160","Assassin's Creed II","PS3","2009","Action","Ubisoft",2.54,1.93,0.21,0.86,5.55,91,70,85,1202,"Ubisoft Montreal","M"
"162","Forza Motorsport 3","X360","2009","Racing","Microsoft Game Studios",2.99,1.9,0.1,0.5,5.49,92,90,79,516,"Turn 10","E"
"165","Batman: Arkham City","PS3","2011","Action","Warner Bros. Interactive Entertainment",2.71,1.85,0.11,0.81,5.48,96,42,85,2162,"Rocksteady Studios","T"
"166","Grand Theft Auto V","XOne","2014","Action","Take-Two Interactive",2.81,2.19,0,0.47,5.48,97,14,78,764,"Rockstar North","M"
"172","Uncharted 4: A Thief's End","PS4","2016","Shooter","Sony Computer Entertainment",1.85,2.5,0.19,0.85,5.38,93,113,78,7064,"Naughty Dog","T"
"174","Final Fantasy XIII","PS3","2009","Role-Playing","Square Enix",1.74,1.21,1.87,0.51,5.33,83,83,72,2483,"Square Enix","T"
"177","Assassin's Creed III","X360","2012","Action","Ubisoft",3.13,1.69,0.03,0.44,5.29,84,61,66,1196,"Ubisoft","M"
"180","Call of Duty: Advanced Warfare","XOne","2014","Shooter","Activision",3.22,1.55,0.01,0.48,5.27,81,53,53,898,"Sledgehammer Games","M"
"181","Minecraft","PS3","2014","Misc","Sony Computer Entertainment",2.03,2.37,0,0.87,5.26,NA,NA,1,NA,"",""
"182","Assassin's Creed II","X360","2009","Action","Ubisoft",3.11,1.55,0.08,0.51,5.26,90,82,87,1305,"Ubisoft Montreal","M"
"185","Tomodachi Life","3DS","2013","Simulation","Nintendo",0.97,2.11,1.9,0.24,5.23,NA,NA,1,NA,"",""
"186","New Super Mario Bros. U","WiiU","2012","Platform","Nintendo",2.3,1.34,1.27,0.32,5.22,84,70,80,733,"Nintendo","E"
"191","FIFA Soccer 13","X360","2012","Action","Electronic Arts",1.09,3.47,0.03,0.57,5.16,90,48,60,403,"Electronic Arts","E"
"193","Diablo III","PC","2012","Role-Playing","Activision",2.44,2.16,0,0.54,5.14,88,86,39,9629,"Blizzard Entertainment","M"
"198","Fable III","X360","2010","Role-Playing","Microsoft Game Studios",3.59,1.08,0.05,0.38,5.1,80,88,64,604,"Lionhead Studios","M"
"200","Resident Evil 5","PS3","2009","Action","Capcom",1.96,1.41,1.08,0.64,5.09,84,76,74,667,"Capcom","M"
"203","FIFA Soccer 11","PS3","2010","Sports","Electronic Arts",0.61,3.28,0.06,1.12,5.07,89,51,79,233,"EA Sports","E"
"216","Monster Hunter Freedom 3","PSP","2010","Role-Playing","Capcom",0,0,4.87,0,4.87,NA,NA,1,NA,"",""
"217","Super Smash Bros. for Wii U and 3DS","WiiU","2014","Fighting","Nintendo",2.6,1.08,0.81,0.38,4.87,NA,NA,1,NA,"",""
"219","StarCraft II: Wings of Liberty","PC","2010","Strategy","Activision",2.57,1.68,0,0.58,4.84,93,82,81,3052,"Blizzard Entertainment","T"
"221","God of War III","PS3","2010","Action","Sony Computer Entertainment",2.74,1.33,0.12,0.61,4.8,92,101,86,2633,"SCE Santa Monica","M"
"225","Batman: Arkham City","X360","2011","Action","Warner Bros. Interactive Entertainment",2.99,1.27,0.04,0.42,4.73,94,87,86,1472,"Rocksteady Studios","T"
"226","The Last of Us","PS4","2014","Action","Sony Computer Entertainment",1.88,2,0.07,0.77,4.71,NA,NA,1,NA,"",""
"232","Uncharted: The Nathan Drake Collection","PS4","2015","Action","Sony Computer Entertainment",2.07,1.71,0.08,0.76,4.62,86,78,80,1264,"Bluepoint Games","T"
"236","Luigi's Mansion: Dark Moon","3DS","2013","Action","Nintendo",1.8,1.39,1.11,0.29,4.59,86,74,83,458,"Next Level Games","E"
"237","Forza Motorsport 4","X360","2011","Racing","Microsoft Game Studios",2.08,1.97,0.06,0.46,4.57,91,83,81,617,"Turn 10","E"
"238","Mario & Sonic at the Olympic Winter Games","Wii","2009","Sports","Sega",1.87,1.96,0.22,0.48,4.53,NA,NA,1,NA,"",""
"243","Halo 5: Guardians","XOne","2015","Shooter","Microsoft Game Studios",2.78,1.27,0.03,0.41,4.48,84,101,63,2438,"343 Industries","T"
"246","Call of Duty: Infinite Warfare","PS4","2016","Shooter","Activision",1.61,2,0.15,0.71,4.46,77,82,33,1129,"Infinity Ward","M"
"248","Splatoon","WiiU","2015","Shooter","Nintendo",1.54,1.18,1.46,0.26,4.43,81,88,84,1184,"Nintendo","E10+"
"249","Nintendo Land","WiiU","2012","Misc","Nintendo",2.52,1.11,0.46,0.33,4.42,77,61,78,471,"Nintendo","E10+"
"255","Michael Jackson: The Experience","Wii","2010","Misc","Ubisoft",2.64,1.33,0.01,0.39,4.36,56,37,82,31,"Ubisoft Paris, Ubisoft Montpellier","E10+"
"256","Call of Duty: Advanced Warfare","PS3","2014","Shooter","Activision",1.56,1.93,0.19,0.68,4.36,NA,NA,47,207,"High Moon Studios","M"
"260","The Legend of Zelda: Ocarina of Time","3DS","2011","Action","Nintendo",2.09,1.31,0.62,0.31,4.33,NA,NA,1,NA,"",""
"261","Super Mario 3D World","WiiU","2013","Platform","Nintendo",2.11,1.16,0.73,0.32,4.32,93,83,89,1607,"Nintendo","E"
"262","Minecraft","PS4","2014","Misc","Sony Computer Entertainment Europe",1.48,2.02,0.14,0.68,4.32,NA,NA,1,NA,"",""
"264","Call of Duty: Advanced Warfare","X360","2014","Shooter","Activision",2.77,1.11,0,0.4,4.29,NA,NA,48,221,"High Moon Studios","M"
"265","FIFA 15","PS3","2014","Sports","Electronic Arts",0.58,3.02,0.04,0.64,4.28,NA,NA,44,109,"EA Sports","E"
"268","Batman: Arkham Asylum","PS3","2009","Action","Eidos Interactive",2.24,1.31,0.07,0.61,4.23,91,70,88,1122,"Rocksteady Studios","T"
"270","Assassin's Creed: Revelations","PS3","2011","Action","Ubisoft",1.41,2.01,0.1,0.7,4.22,80,39,74,613,"Ubisoft Montreal","M"
"271","Fallout 4","XOne","2015","Role-Playing","Bethesda Softworks",2.51,1.32,0.01,0.38,4.22,88,39,61,1749,"Bethesda Game Studios","M"
"272","FIFA 14","X360","2013","Sports","Electronic Arts",0.92,2.89,0.01,0.4,4.22,84,41,41,435,"EA Canada","E"
"278","Assassin's Creed: Revelations","X360","2011","Action","Ubisoft",2.25,1.47,0.04,0.43,4.19,80,77,71,564,"Ubisoft Montreal","M"
"279","FIFA 12","X360","2011","Sports","Electronic Arts",0.84,2.78,0.02,0.53,4.18,NA,NA,1,NA,"",""
"281","Street Fighter IV","PS3","2009","Fighting","Capcom",2.03,1.04,0.58,0.52,4.16,94,61,72,330,"Capcom","T"
"290","Battlefield 1","PS4","2016","Shooter","Electronic Arts",1.1,2.15,0.21,0.61,4.08,88,31,83,809,"EA DICE","M"
"293","Fallout: New Vegas","X360","2010","Role-Playing","Bethesda Softworks",2.66,1.03,0.04,0.33,4.05,84,81,80,769,"Obsidian Entertainment","M"
"296","Watch Dogs","PS4","2014","Action","Ubisoft",1.4,1.9,0.11,0.64,4.05,80,80,62,2996,"Ubisoft Montreal","M"
"299","Far Cry 4","PS4","2014","Shooter","Ubisoft",1.13,2.18,0.1,0.63,4.04,85,83,76,1653,"Ubisoft Montreal","M"
"303","Left 4 Dead 2","X360","2009","Shooter","Electronic Arts",2.67,0.87,0.05,0.38,3.97,89,76,85,681,"Valve Software","M"
"304","The Witcher 3: Wild Hunt","PS4","2015","Role-Playing","Namco Bandai Games",1.02,2.13,0.23,0.59,3.97,92,79,91,10179,"CD Projekt Red Studio","M"
"305","Assassin's Creed: Unity","PS4","2014","Action","Ubisoft",1.19,2.07,0.08,0.62,3.96,70,40,48,2050,"Ubisoft, Ubisoft Montreal","M"
"306","Batman: Arkham Knight","PS4","2015","Action","Warner Bros. Interactive Entertainment",1.53,1.69,0.1,0.64,3.95,87,89,75,2679,"Rocksteady Studios","M"
"307","The Legend of Zelda: Skyward Sword","Wii","2011","Action","Nintendo",2.03,1.16,0.37,0.38,3.95,93,81,79,1958,"Nintendo","E10+"
"311","EA Sports Active","Wii","2009","Sports","Electronic Arts",2.09,1.35,0.06,0.4,3.9,81,27,86,39,"EA Canada","E"
"313","Monster Hunter 4 Ultimate","3DS","2014","Role-Playing","Nintendo",0.68,0.48,2.62,0.11,3.89,86,80,86,348,"Capcom","T"
"314","The Elder Scrolls V: Skyrim","PC","2011","Role-Playing","Bethesda Softworks",1.16,2.12,0,0.6,3.88,94,32,80,9073,"Bethesda Game Studios","M"
"315","NBA 2K16","PS4","2015","Sports","Take-Two Interactive",2.49,0.66,0.03,0.69,3.88,87,51,66,364,"Visual Concepts","E10+"
"319","Nintendogs + cats","3DS","2011","Simulation","Nintendo",1.44,1.41,0.73,0.27,3.85,NA,NA,1,NA,"",""
"321","Sports Champions","PS3","2010","Sports","Sony Computer Entertainment",2.13,1.12,0.1,0.5,3.84,76,64,78,104,"SCEA, Zindagi Games","E10+"
"324","Call of Duty: Ghosts","PS4","2013","Shooter","Activision",1.78,1.43,0.05,0.57,3.83,78,49,36,1564,"Infinity Ward","M"
"326","Tom Clancy's The Division","PS4","2016","Shooter","Ubisoft",1.35,1.7,0.15,0.6,3.8,80,64,69,2219,"Massive Entertainment","M"
"329","Mario & Luigi: Bowser's Inside Story","DS","2009","Role-Playing","Nintendo",2.23,0.47,0.81,0.26,3.77,NA,NA,1,NA,"",""
"334","Mario & Sonic at the London 2012 Olympic Games","Wii","2011","Sports","Sega",1.12,1.87,0.27,0.45,3.72,NA,NA,1,NA,"",""
"338","Assassin's Creed IV: Black Flag","PS3","2013","Action","Ubisoft",1.33,1.68,0.13,0.57,3.71,88,36,80,840,"Ubisoft","M"
"341","Friend Collection","DS","2009","Misc","Nintendo",0,0,3.67,0,3.67,NA,NA,1,NA,"",""
"343","Star Wars Battlefront (2015)","XOne","2015","Shooter","Electronic Arts",2.04,1.28,0.02,0.32,3.66,NA,NA,1,NA,"",""
"353","FIFA Soccer 10","PS3","2009","Sports","Electronic Arts",0.6,2.45,0.05,0.52,3.62,91,56,75,203,"EA Sports","E"
"358","Battlefield 4","PS4","2013","Shooter","Electronic Arts",1.35,1.55,0.17,0.51,3.59,85,18,68,1580,"EA DICE","M"
"360","Just Dance 2014","Wii","2013","Misc","Ubisoft",1.88,1.39,0,0.31,3.59,NA,NA,61,10,"Ubisoft","E10+"
"370","FIFA Soccer 11","X360","2010","Sports","Electronic Arts",0.71,2.39,0.02,0.4,3.52,88,66,74,155,"EA Sports","E"
"374","Assassin's Creed: Unity","XOne","2014","Action","Ubisoft",2.27,0.9,0,0.33,3.5,72,59,40,1005,"Ubisoft, Ubisoft Montreal","M"
"376","Resident Evil 5","X360","2009","Action","Capcom",2.11,0.93,0.12,0.34,3.5,83,91,74,523,"Capcom","M"
"377","Assassin's Creed: Brotherhood","X360","2010","Action","Ubisoft",2.85,0.38,0.03,0.24,3.49,89,81,82,693,"Ubisoft Montreal","M"
"379","Battlefield 4","PS3","2013","Shooter","Electronic Arts",1.3,1.42,0.27,0.5,3.49,80,14,57,579,"EA DICE","M"
"380","Batman: Arkham Asylum","X360","2009","Action","Eidos Interactive",2.2,0.95,0.02,0.31,3.48,92,78,86,1080,"Rocksteady Studios","T"
"381","Battlefield 4","X360","2013","Shooter","Electronic Arts",2.15,1.01,0.02,0.31,3.48,79,21,55,542,"EA DICE","M"
"382","Battlefield: Bad Company 2","X360","2010","Shooter","Electronic Arts",2.1,1.01,0.04,0.32,3.47,88,75,85,869,"EA DICE","M"
"383","Mario & Sonic at the Olympic Winter Games","DS","2009","Sports","Sega",1.21,1.62,0.27,0.37,3.46,NA,NA,1,NA,"",""
"386","Monster Hunter 4","3DS","2013","Role-Playing","Capcom",0,0,3.44,0,3.44,NA,NA,1,NA,"",""
"387","Borderlands","X360","2009","Shooter","Take-Two Interactive",2.4,0.71,0.03,0.29,3.44,84,83,81,715,"Gearbox Software","M"
"391","Metal Gear Solid V: The Phantom Pain","PS4","2015","Action","Konami Digital Entertainment",1.09,1.36,0.49,0.48,3.41,93,86,81,3943,"Kojima Productions, Moby Dick Studio","M"
"395","LittleBigPlanet 2","PS3","2011","Platform","Sony Computer Entertainment",1.83,1.05,0.06,0.46,3.39,91,86,83,657,"Media Molecule","E"
"397","Assassin's Creed Syndicate","PS4","2015","Action","Ubisoft",0.81,1.99,0.07,0.52,3.39,76,86,67,1319,"Ubisoft Quebec","M"
"399","Destiny","XOne","2014","Shooter","Activision",2.14,0.92,0,0.31,3.37,75,11,54,1735,"Bungie Software, Bungie","T"
"402","Far Cry 3","PS3","2012","Shooter","Ubisoft",0.88,1.7,0.1,0.67,3.35,90,32,84,1041,"Ubisoft Montreal","M"
"407","Monster Hunter X","3DS","2015","Action","Capcom",0.27,0.21,2.79,0.05,3.32,NA,NA,1,NA,"",""
"409","The Legend of Zelda: Spirit Tracks","DS","2009","Action","Nintendo",1.4,0.91,0.74,0.26,3.31,87,75,77,228,"Nintendo","E10+"
"411","Assassin's Creed IV: Black Flag","X360","2013","Action","Ubisoft",1.9,1.11,0.01,0.29,3.3,86,35,78,701,"Ubisoft","M"
"413","Yokai Watch 2 Ganso/Honke","3DS","2014","Role-Playing","Nintendo",0.09,0,3.18,0.01,3.28,NA,NA,1,NA,"",""
"414","Gears of War: Ultimate Edition","XOne","2015","Shooter","Microsoft Game Studios",2.61,0.33,0,0.34,3.28,82,74,74,563,"Splash Damage, The Coalition","M"
"417","Gran Turismo (PSP)","PSP","2009","Racing","Sony Computer Entertainment",0.5,1.58,0.31,0.87,3.25,NA,NA,1,NA,"",""
"418","FIFA 16","XOne","2015","Sports","Electronic Arts",0.89,2.12,0,0.24,3.25,84,45,43,459,"EA Sports","E"
"421","Madden NFL 16","PS4","2015","Sports","Electronic Arts",2.34,0.3,0,0.6,3.24,83,37,58,180,"EA Sports","E"
"422","Gran Turismo 6","PS3","2013","Racing","Sony Computer Entertainment",0.72,1.67,0.4,0.44,3.23,81,81,76,758,"Polyphony Digital","E"
"423","Halo: The Master Chief Collection","XOne","2014","Shooter","Microsoft Game Studios",1.91,1,0.03,0.29,3.23,85,69,71,1267,"343 Industries","M"
"425","Super Mario Maker","WiiU","2015","Platform","Nintendo",1.18,0.89,0.94,0.2,3.21,88,85,86,691,"Nintendo","E"
"433","Dance Central","X360","2010","Misc","MTV Games",2.15,0.76,0.01,0.26,3.17,82,63,75,85,"Harmonix Music Systems","T"
"434","L.A. Noire","PS3","2011","Adventure","Take-Two Interactive",1.27,1.29,0.12,0.49,3.17,89,78,76,1010,"Team Bondi","M"
"440","Mario Party 9","Wii","2012","Misc","Nintendo",1.06,1.09,0.76,0.22,3.13,73,45,67,155,"Nd Cube","E"
"446","Fallout: New Vegas","PS3","2010","Role-Playing","Bethesda Softworks",1.52,1.03,0.1,0.46,3.11,82,57,77,492,"Obsidian Entertainment","M"
"449","The Legend of Zelda: A Link Between Worlds","3DS","2013","Action","Nintendo",1.4,1.01,0.46,0.23,3.1,91,81,88,1057,"Nintendo","E"
"450","Resident Evil 6","PS3","2012","Shooter","Capcom",0.88,0.94,0.88,0.4,3.1,74,34,53,1304,"Capcom","M"
"451","Mass Effect 2","X360","2010","Role-Playing","Electronic Arts",1.99,0.81,0.03,0.27,3.1,96,98,88,3143,"BioWare","M"
"458","Animal Crossing: Happy Home Designer","3DS","2015","Simulation","Nintendo",0.51,1.02,1.4,0.12,3.05,66,60,68,106,"Nintendo","E"
"459","The Sims 4","PC","2014","Simulation","Electronic Arts",1,1.82,0,0.23,3.05,70,74,38,2057,"Maxis","T"
"460","Borderlands 2","X360","2012","Shooter","Take-Two Interactive",1.89,0.88,0.04,0.25,3.05,89,59,81,892,"Gearbox Software","M"
"463","Mass Effect 3","X360","2012","Role-Playing","Electronic Arts",1.94,0.84,0.03,0.24,3.04,93,74,57,3725,"BioWare","M"
"464","Heavy Rain","PS3","2010","Adventure","Sony Computer Entertainment",1.29,1.21,0.06,0.47,3.03,87,107,76,2759,"Quantic Dream","M"
"470","FIFA 14","PS4","2013","Sports","Electronic Arts",0.61,1.85,0.11,0.44,3.01,87,26,62,616,"EA Canada","E"
"471","Killzone 2","PS3","2009","Shooter","Sony Computer Entertainment",1.4,1.06,0.08,0.47,3.01,91,94,80,1505,"Guerrilla","M"
"472","Far Cry 3","X360","2012","Shooter","Ubisoft",1.38,1.32,0.02,0.28,3,91,39,85,1247,"Ubisoft Montreal","M"
"473","Epic Mickey","Wii","2010","Platform","Disney Interactive Studios",2.04,0.63,0.12,0.22,3,73,78,69,131,"Junction Point","E"
"474","NBA 2K13","X360","2012","Sports","Take-Two Interactive",2.6,0.2,0.01,0.19,3,88,41,71,131,"Visual Concepts","E"
"481","Star Wars: The Old Republic","PC","2011","Role-Playing","Electronic Arts",1.58,1.01,0,0.38,2.96,85,73,58,2748,"LucasArts, BioWare","T"
"482","Middle-Earth: Shadow of Mordor","PS4","2014","Action","Warner Bros. Interactive Entertainment",1.01,1.43,0.05,0.47,2.96,84,85,80,1886,"Monolith Productions","M"
"485","Titanfall","XOne","2014","Shooter","Electronic Arts",1.84,0.8,0.04,0.27,2.95,86,68,63,2658,"Respawn Entertainment","M"
"486","Battlefield: Bad Company 2","PS3","2010","Shooter","Electronic Arts",1.33,1.1,0.08,0.44,2.95,88,59,84,572,"EA DICE","M"
"491","Street Fighter IV","X360","2009","Fighting","Capcom",1.82,0.7,0.15,0.26,2.94,93,77,72,292,"Capcom","T"
"492","inFAMOUS","PS3","2009","Action","Sony Computer Entertainment",1.76,0.68,0.12,0.37,2.93,85,98,82,1172,"Sucker Punch","T"
"494","Call of Duty: Ghosts","XOne","2013","Shooter","Activision",1.88,0.77,0,0.27,2.92,78,7,42,700,"Infinity Ward","M"
