"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"15842","Mark McMorris Infinite Air","PS4","2016","Sports","FuRyu Corporation",0.01,0,0,0,0.02,49,15,59,29,"HB Studios Multimedia","T"
"15843","Shin Hayarigami 2","PSV","2016","Adventure","Nippon Ichi Software",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15844","Cabela's Big Game Hunter: Pro Hunts","WiiU","2014","Shooter","Activision",0.02,0,0,0,0.02,NA,NA,97,NA,"Cauldron Ltd.","T"
"15845","Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Machiteba Tengoku! Makereba Jigoku! Ryoutsuryuu Ikkakusenkin Daisakusen!","DS","2010","Misc","Namco Bandai Games",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15847","Root Infinity Rexx","PSV","2015","Adventure","Idea Factory",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15848","Dungeons - The Dark Lord","PC","2011","Strategy","Kalypso Media",0,0.01,0,0,0.02,72,6,55,16,"Kalypso","M"
"15850","Memories Off: Yubikiri no Kikou","PSP","2011","Adventure","5pb",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15851","Hurry Up Hedgehog!","DS","2009","Racing","O-Games",0.02,0,0,0,0.02,NA,NA,1,NA,"",""
"15852","L.G.S: Shinsetsu Houshinengi","PSP","2012","Action","Idea Factory",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15854","Divinity: Original Sin","PC","2014","Role-Playing","Focus Home Interactive",0,0.02,0,0,0.02,87,59,86,2089,"Larian Studios","M"
"15860","Strike Witches: Shirogane no Tsubasa","X360","2010","Strategy","CyberFront",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15861","Kaleidoeve","PSV","2015","Adventure","HuneX",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15863","Broken Sword 5: The Serpent's Curse","XOne","2015","Adventure","Revolution Software",0,0.02,0,0,0.02,77,12,71,11,"Revolution Software","T"
"15864","My Ballet Studio","DS","2009","Simulation","505 Games",0.01,0,0,0,0.02,NA,NA,97,NA,"505 Games","E"
"15865","Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers","DS","2010","Action","Hudson Soft",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15866","Moujuutsukai to Oujisama","PS2","2010","Adventure","Idea Factory",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15867","Rocksmith 2014 Edition Remastered","PS4","2016","Misc","Ubisoft",0.01,0,0,0,0.02,NA,NA,77,5,"Ubisoft","T"
"15875","Dunamis 15","X360","2011","Adventure","5pb",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15877","Yoake Yori Ruriiro na Portable","PSP","2010","Adventure","Kadokawa Shoten",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15879","Storm Lover 2nd V","PSV","2016","Adventure","D3Publisher",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15880","Reine des Fleurs","PSV","2015","Action","Idea Factory",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15883","Turbo: Super Stunt Squad","PS3","2013","Sports","D3Publisher",0,0.01,0,0,0.02,38,5,97,NA,"Monkey Bar Games","E"
"15884","The Haunted: Hell's Reach","PC","2011","Shooter","Visco",0.02,0,0,0,0.02,51,8,75,47,"ValuSoft","M"
"15885","Disciples III: Renaissance","PC","2010","Strategy","Kalypso Media",0,0.01,0,0,0.02,56,36,53,105,"Akella","T"
"15887","Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+","PSP","2009","Role-Playing","Gust",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15894","Rugby League Live 3","PS3","2015","Action","Tru Blu Entertainment",0,0.01,0,0,0.02,NA,NA,97,NA,"Big Ant Studios",""
"15899","Kimi ni Todoke: Sodateru Omoi","DS","2009","Adventure","Banpresto",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15900","Elven Legacy Collection","PC","2010","Strategy","Paradox Interactive",0,0.01,0,0,0.02,NA,NA,97,NA,"1C:Ino-Co",""
"15901","Hands On! Tangrams","DS","2009","Puzzle","Storm City Games",0.02,0,0,0,0.02,NA,NA,1,NA,"",""
"15905","Custom Drive","PSP","2012","Action","D3Publisher",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15906","Dark Void","PC","2010","Action","Capcom",0,0.01,0,0,0.02,57,22,50,67,"Airtight Games","T"
"15908","Tsuyo Kiss 2 Gakki: Swift Love","PS2","2009","Adventure","Revolution (Japan)",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15912","Winning Post 7 2013","PSV","2013","Sports","Tecmo Koei",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15914","Psychedelica of the Black Butterfly","PSV","2015","Action","Idea Factory",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15918","Ore wa Shoujo Mangaka","PSP","2012","Action","Giza10",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
